prior_history_cohort,model,quantile,tau,n,empirical_p_actual_le_predicted_quantile,signed_calibration_error,absolute_calibration_error,tie_rule
50_plus_prior_games,task047,points_q10,0.1,9976,0.32508019246190856,0.22508019246190855,0.22508019246190855,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q10,0.1,9976,0.327485966319166,0.22748596631916598,0.22748596631916598,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q25,0.25,9976,0.37830793905372895,0.12830793905372895,0.12830793905372895,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q25,0.25,9976,0.38612670408981553,0.13612670408981553,0.13612670408981553,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q50,0.5,9976,0.48466319165998395,-0.01533680834001605,0.01533680834001605,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q50,0.5,9976,0.4991980753809142,-0.000801924619085792,0.000801924619085792,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q75,0.75,9976,0.6296110665597434,-0.12038893344025658,0.12038893344025658,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q75,0.75,9976,0.650962309542903,-0.09903769045709698,0.09903769045709698,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q90,0.9,9976,0.7691459502806736,-0.13085404971932646,0.13085404971932646,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q90,0.9,9976,0.7852846832397755,-0.1147153167602245,0.1147153167602245,actual_points <= predicted_quantile
50_plus_prior_games,task047,points_q97,0.97,9976,0.8733961507618284,-0.09660384923817156,0.09660384923817156,actual_points <= predicted_quantile
50_plus_prior_games,task049,points_q97,0.97,9976,0.8784081796311147,-0.09159182036888525,0.09159182036888525,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q10,0.1,7524,0.35074428495481125,0.25074428495481127,0.25074428495481127,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q10,0.1,7524,0.35300372142477404,0.253003721424774,0.253003721424774,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q25,0.25,7524,0.3922115895800106,0.14221158958001062,0.14221158958001062,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q25,0.25,7524,0.3963317384370016,0.1463317384370016,0.1463317384370016,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q50,0.5,7524,0.4956140350877193,-0.004385964912280715,0.004385964912280715,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q50,0.5,7524,0.5085061137692717,0.008506113769271684,0.008506113769271684,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q75,0.75,7524,0.6555023923444976,-0.09449760765550241,0.09449760765550241,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q75,0.75,7524,0.6649388623072834,-0.08506113769271662,0.08506113769271662,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q90,0.9,7524,0.7909356725146199,-0.10906432748538009,0.10906432748538009,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q90,0.9,7524,0.7858851674641149,-0.11411483253588517,0.11411483253588517,actual_points <= predicted_quantile
under_50_prior_games,task047,points_q97,0.97,7524,0.883705475810739,-0.08629452418926098,0.08629452418926098,actual_points <= predicted_quantile
under_50_prior_games,task049,points_q97,0.97,7524,0.8680223285486444,-0.10197767145135561,0.10197767145135561,actual_points <= predicted_quantile
zero_prior_games,task047,points_q10,0.1,2594,0.687355435620663,0.5873554356206631,0.5873554356206631,actual_points <= predicted_quantile
zero_prior_games,task049,points_q10,0.1,2594,0.687355435620663,0.5873554356206631,0.5873554356206631,actual_points <= predicted_quantile
zero_prior_games,task047,points_q25,0.25,2594,0.687355435620663,0.43735543562066304,0.43735543562066304,actual_points <= predicted_quantile
zero_prior_games,task049,points_q25,0.25,2594,0.687355435620663,0.43735543562066304,0.43735543562066304,actual_points <= predicted_quantile
zero_prior_games,task047,points_q50,0.5,2594,0.6958365458750964,0.19583654587509636,0.19583654587509636,actual_points <= predicted_quantile
zero_prior_games,task049,points_q50,0.5,2594,0.6989205859676175,0.19892058596761752,0.19892058596761752,actual_points <= predicted_quantile
zero_prior_games,task047,points_q75,0.75,2594,0.7540478026214341,0.004047802621434116,0.004047802621434116,actual_points <= predicted_quantile
zero_prior_games,task049,points_q75,0.75,2594,0.7602158828064765,0.01021588280647645,0.01021588280647645,actual_points <= predicted_quantile
zero_prior_games,task047,points_q90,0.9,2594,0.8592906707787201,-0.0407093292212799,0.0407093292212799,actual_points <= predicted_quantile
zero_prior_games,task049,points_q90,0.9,2594,0.8357748650732459,-0.06422513492675408,0.06422513492675408,actual_points <= predicted_quantile
zero_prior_games,task047,points_q97,0.97,2594,0.9167309175019275,-0.053269082498072495,0.053269082498072495,actual_points <= predicted_quantile
zero_prior_games,task049,points_q97,0.97,2594,0.8777949113338473,-0.09220508866615262,0.09220508866615262,actual_points <= predicted_quantile
